#Profile 1
#x       y
#[]     []
0  4.4921523e-06
3.5377072e-08  4.4891641e-06
7.0754144e-08  4.4987188e-06
1.0613122e-07  4.500956e-06
1.4150829e-07  4.5092143e-06
1.7688536e-07  4.5081362e-06
2.1226243e-07  4.4860033e-06
2.476395e-07  4.4706877e-06
2.8301657e-07  4.4853263e-06
3.1839365e-07  4.4589866e-06
3.5377072e-07  4.4103896e-06
3.8914779e-07  4.3966405e-06
4.2452486e-07  4.3882285e-06
4.5990193e-07  4.3888075e-06
4.9527901e-07  4.3865983e-06
5.3065608e-07  4.3783736e-06
5.6603315e-07  4.3670054e-06
6.0141022e-07  4.3561561e-06
6.3678729e-07  4.366801e-06
6.7216436e-07  4.3584714e-06
7.0754144e-07  4.3609673e-06
7.4291851e-07  4.369656e-06
7.7829558e-07  4.3603837e-06
8.1367265e-07  4.34523e-06
8.4904972e-07  4.3407171e-06
8.844268e-07  4.3433939e-06
9.1980387e-07  4.3400999e-06
9.5518094e-07  4.3493992e-06
9.9055801e-07  4.3483229e-06
1.0259351e-06  4.3547339e-06
1.0613122e-06  4.3584965e-06
1.0966892e-06  4.350092e-06
1.1320663e-06  4.3377048e-06
1.1674434e-06  4.3383291e-06
1.2028204e-06  4.3531847e-06
1.2381975e-06  4.353333e-06
1.2735746e-06  4.3642622e-06
1.3089517e-06  4.356655e-06
1.3443287e-06  4.3700711e-06
1.3797058e-06  4.3758244e-06
1.4150829e-06  4.3602843e-06
1.4504599e-06  4.3505037e-06
1.485837e-06  4.3610571e-06
1.5212141e-06  4.3580779e-06
1.5565912e-06  4.3386776e-06
1.5919682e-06  4.3299285e-06
1.6273453e-06  4.3515596e-06
1.6627224e-06  4.3689016e-06
1.6980994e-06  4.3705906e-06
1.7334765e-06  4.3630783e-06
1.7688536e-06  4.3601028e-06
1.8042307e-06  4.367516e-06
1.8396077e-06  4.3736697e-06
1.8749848e-06  4.3618483e-06
1.9103619e-06  4.3793425e-06
1.945739e-06  4.3811246e-06
1.981116e-06  4.3903795e-06
2.0164931e-06  4.3879144e-06
2.0518702e-06  4.3841844e-06
2.0872472e-06  4.3848014e-06
2.1226243e-06  4.3751806e-06
2.1580014e-06  4.3747794e-06
2.1933785e-06  4.3689138e-06
2.2287555e-06  4.3873036e-06
2.2641326e-06  4.3875442e-06
2.2995097e-06  4.3886152e-06
2.3348867e-06  4.3905729e-06
2.3702638e-06  4.3853666e-06
2.4056409e-06  4.3729024e-06
2.441018e-06  4.365364e-06
2.476395e-06  4.37332e-06
2.5117721e-06  4.3701062e-06
2.5471492e-06  4.3789747e-06
2.5825262e-06  4.3829614e-06
2.6179033e-06  4.385527e-06
2.6532804e-06  4.3879258e-06
2.6886575e-06  4.3834358e-06
2.7240345e-06  4.37202e-06
2.7594116e-06  4.3710193e-06
2.7947887e-06  4.3569663e-06
2.8301657e-06  4.3601897e-06
2.8655428e-06  4.35276e-06
2.9009199e-06  4.3580768e-06
2.936297e-06  4.3642579e-06
2.971674e-06  4.3628362e-06
3.0070511e-06  4.3584305e-06
3.0424282e-06  4.3550367e-06
3.0778052e-06  4.3394421e-06
3.1131823e-06  4.3353877e-06
3.1485594e-06  4.3415707e-06
3.1839365e-06  4.341101e-06
3.2193135e-06  4.326174e-06
3.2546906e-06  4.3294549e-06
3.2900677e-06  4.3309221e-06
3.3254448e-06  4.3097447e-06
3.3608218e-06  4.3122814e-06
3.3961989e-06  4.3227167e-06
3.431576e-06  4.3245167e-06
3.466953e-06  4.3105508e-06
3.5023301e-06  4.292448e-06
3.5377072e-06  4.2887934e-06
3.5730843e-06  4.2809753e-06
3.6084613e-06  4.2629925e-06
3.6438384e-06  4.2490079e-06
3.6792155e-06  4.2349331e-06
3.7145925e-06  4.2521791e-06
3.7499696e-06  4.2340124e-06
3.7853467e-06  4.2327889e-06
3.8207238e-06  4.2439841e-06
3.8561008e-06  4.2570062e-06
3.8914779e-06  4.2596771e-06
3.926855e-06  4.2505394e-06
3.962232e-06  4.2401094e-06
3.9976091e-06  4.2320764e-06
4.0329862e-06  4.2211511e-06
4.0683633e-06  4.2232056e-06
4.1037403e-06  4.2286158e-06
4.1391174e-06  4.2346694e-06
4.1744945e-06  4.237358e-06
4.2098715e-06  4.239829e-06
4.2452486e-06  4.2484333e-06
4.2806257e-06  4.2627528e-06
4.3160028e-06  4.2766214e-06
4.3513798e-06  4.2711873e-06
4.3867569e-06  4.2939794e-06
4.422134e-06  4.2981731e-06
4.4575111e-06  4.3019463e-06
4.4928881e-06  4.2991355e-06
4.5282652e-06  4.2925571e-06
4.5636423e-06  4.2958159e-06
4.5990193e-06  4.2907385e-06
4.6343964e-06  4.2956104e-06
4.6697735e-06  4.2931766e-06
4.7051506e-06  4.2986423e-06
4.7405276e-06  4.2884204e-06
4.7759047e-06  4.2956232e-06
4.8112818e-06  4.309206e-06
4.8466588e-06  4.306901e-06
4.8820359e-06  4.3016058e-06
4.917413e-06  4.2995961e-06
4.9527901e-06  4.3074144e-06
4.9881671e-06  4.308331e-06
5.0235442e-06  4.2961031e-06
5.0589213e-06  4.2888802e-06
5.0942983e-06  4.2863966e-06
5.1296754e-06  4.2810174e-06
5.1650525e-06  4.2734206e-06
5.2004296e-06  4.2736775e-06
5.2358066e-06  4.275029e-06
5.2711837e-06  4.2748803e-06
5.3065608e-06  4.2945021e-06
5.3419378e-06  4.2909394e-06
5.3773149e-06  4.2875391e-06
5.412692e-06  4.286031e-06
5.4480691e-06  4.2806469e-06
5.4834461e-06  4.2787046e-06
5.5188232e-06  4.2878002e-06
5.5542003e-06  4.2872141e-06
5.5895773e-06  4.2775151e-06
5.6249544e-06  4.2754265e-06
5.6603315e-06  4.2887705e-06
5.6957086e-06  4.292087e-06
5.7310856e-06  4.2883148e-06
5.7664627e-06  4.2873247e-06
5.8018398e-06  4.2775823e-06
5.8372169e-06  4.2615689e-06
5.8725939e-06  4.2588262e-06
5.907971e-06  4.2673276e-06
5.9433481e-06  4.2632413e-06
5.9787251e-06  4.2616719e-06
6.0141022e-06  4.2708429e-06
6.0494793e-06  4.2830512e-06
6.0848564e-06  4.2828792e-06
6.1202334e-06  4.2654274e-06
6.1556105e-06  4.2555204e-06
6.1909876e-06  4.2475545e-06
6.2263646e-06  4.2428852e-06
6.2617417e-06  4.2469163e-06
6.2971188e-06  4.2418501e-06
6.3324959e-06  4.2253099e-06
6.3678729e-06  4.2044267e-06
6.40325e-06  4.1861346e-06
6.4386271e-06  4.1789658e-06
6.4740041e-06  4.1774112e-06
6.5093812e-06  4.1831904e-06
6.5447583e-06  4.1758008e-06
6.5801354e-06  4.1715313e-06
6.6155124e-06  4.1678576e-06
6.6508895e-06  4.1684819e-06
6.6862666e-06  4.1746411e-06
6.7216436e-06  4.174104e-06
6.7570207e-06  4.1644279e-06
6.7923978e-06  4.1619232e-06
6.8277749e-06  4.159863e-06
6.8631519e-06  4.1655618e-06
6.898529e-06  4.1638705e-06
6.9339061e-06  4.1675542e-06
6.9692831e-06  4.1756987e-06
7.0046602e-06  4.1760967e-06
7.0400373e-06  4.176718e-06
7.0754144e-06  4.1705085e-06
7.1107914e-06  4.1839835e-06
7.1461685e-06  4.1683004e-06
7.1815456e-06  4.1683242e-06
7.2169227e-06  4.1773423e-06
7.2522997e-06  4.1881235e-06
7.2876768e-06  4.1926253e-06
7.3230539e-06  4.1857924e-06
7.3584309e-06  4.1855985e-06
7.393808e-06  4.1916216e-06
7.4291851e-06  4.1891992e-06
7.4645622e-06  4.1901005e-06
7.4999392e-06  4.1913042e-06
7.5353163e-06  4.1960618e-06
7.5706934e-06  4.1998675e-06
7.6060704e-06  4.2020837e-06
7.6414475e-06  4.2106753e-06
7.6768246e-06  4.2090193e-06
7.7122017e-06  4.2147609e-06
7.7475787e-06  4.2017999e-06
7.7829558e-06  4.2079654e-06
7.8183329e-06  4.2186704e-06
7.8537099e-06  4.2233907e-06
