#Profile 1             
#x       y           
#[]     #[]         
0  4.4420173e-06            
4.0006597e-08  4.453756e-06            
8.0013194e-08  4.4513297e-06            
1.2001979e-07  4.4667762e-06            
1.6002639e-07  4.4722117e-06            
2.0003299e-07  4.4775296e-06            
2.4003958e-07  4.4683303e-06            
2.8004618e-07  4.4367807e-06            
3.2005278e-07  4.4598268e-06            
3.6005937e-07  4.4464948e-06            
4.0006597e-07  4.3979933e-06            
4.4007257e-07  4.3851053e-06            
4.8007917e-07  4.3819756e-06            
5.2008576e-07  4.3933387e-06            
5.6009236e-07  4.3884647e-06            
6.0009896e-07  4.3850893e-06            
6.4010555e-07  4.3686133e-06            
6.8011215e-07  4.3741051e-06            
7.2011875e-07  4.3767073e-06            
7.6012534e-07  4.3812884e-06            
8.0013194e-07  4.3921418e-06            
8.4013854e-07  4.3716466e-06            
8.8014514e-07  4.3605912e-06            
9.2015173e-07  4.3685547e-06            
9.6015833e-07  4.3679583e-06            
1.0001649e-06  4.3768233e-06            
1.0401715e-06  4.3791139e-06            
1.0801781e-06  4.3866331e-06            
1.1201847e-06  4.38893e-06            
1.1601913e-06  4.3728148e-06            
1.2001979e-06  4.3674608e-06            
1.2402045e-06  4.386142e-06            
1.2802111e-06  4.3826497e-06            
1.3202177e-06  4.3918361e-06            
1.3602243e-06  4.3860704e-06            
1.4002309e-06  4.4016837e-06            
1.4402375e-06  4.395644e-06            
1.4802441e-06  4.3709373e-06            
1.5202507e-06  4.3819466e-06            
1.5602573e-06  4.3754049e-06            
1.6002639e-06  4.3581158e-06            
1.6402705e-06  4.3568276e-06            
1.6802771e-06  4.3820969e-06            
1.7202837e-06  4.3978298e-06            
1.7602903e-06  4.3911658e-06            
1.8002969e-06  4.3884382e-06            
1.8403035e-06  4.3965523e-06            
1.8803101e-06  4.4020357e-06            
1.9203167e-06  4.3906137e-06            
1.9603233e-06  4.4099315e-06            
2.0003299e-06  4.4107702e-06            
2.0403365e-06  4.4241487e-06            
2.080343e-06  4.4092103e-06            
2.1203496e-06  4.4195504e-06            
2.1603562e-06  4.4098297e-06            
2.2003628e-06  4.4067448e-06            
2.2403694e-06  4.4071924e-06            
2.280376e-06  4.4281418e-06            
2.3203826e-06  4.427061e-06            
2.3603892e-06  4.4346298e-06            
2.4003958e-06  4.4330739e-06            
2.4404024e-06  4.4169942e-06            
2.480409e-06  4.4119188e-06            
2.5204156e-06  4.4195049e-06            
2.5604222e-06  4.4188908e-06            
2.6004288e-06  4.4286636e-06            
2.6404354e-06  4.4345447e-06            
2.680442e-06  4.4402455e-06            
2.7204486e-06  4.4388266e-06            
2.7604552e-06  4.4256675e-06            
2.8004618e-06  4.4273801e-06            
2.8404684e-06  4.4156161e-06            
2.880475e-06  4.4189159e-06            
2.9204816e-06  4.4119177e-06            
2.9604882e-06  4.4238888e-06            
3.0004948e-06  4.4285164e-06            
3.0405014e-06  4.4221023e-06            
3.080508e-06  4.423439e-06            
3.1205146e-06  4.4051298e-06            
3.1605212e-06  4.4044475e-06            
3.2005278e-06  4.4116824e-06            
3.2405344e-06  4.410875e-06            
3.280541e-06  4.3968789e-06            
3.3205476e-06  4.422321e-06            
3.3605542e-06  4.3973329e-06            
3.4005608e-06  4.4083887e-06            
3.4405674e-06  4.4219582e-06            
3.4805739e-06  4.4259398e-06            
3.5205805e-06  4.4099287e-06            
3.5605871e-06  4.3952524e-06            
3.6005937e-06  4.4012565e-06            
3.6406003e-06  4.3813476e-06            
3.6806069e-06  4.3742154e-06            
3.7206135e-06  4.3609251e-06            
3.7606201e-06  4.3671505e-06            
3.8006267e-06  4.3630363e-06            
3.8406333e-06  4.3653357e-06            
3.8806399e-06  4.3841983e-06            
3.9206465e-06  4.3945769e-06            
3.9606531e-06  4.3846731e-06            
4.0006597e-06  4.3673932e-06            
4.0406663e-06  4.356033e-06            
4.0806729e-06  4.3444597e-06            
4.1206795e-06  4.3471259e-06            
4.1606861e-06  4.3494962e-06            
4.2006927e-06  4.3566261e-06            
4.2406993e-06  4.3562104e-06            
4.2807059e-06  4.3647726e-06            
4.3207125e-06  4.383062e-06            
4.3607191e-06  4.3953634e-06            
4.4007257e-06  4.3920249e-06            
4.4407323e-06  4.4188572e-06            
4.4807389e-06  4.4209718e-06            
4.5207455e-06  4.4279432e-06            
4.5607521e-06  4.4143982e-06            
4.6007587e-06  4.416705e-06            
4.6407653e-06  4.4101738e-06            
4.6807719e-06  4.4161916e-06            
4.7207785e-06  4.4165431e-06            
4.7607851e-06  4.4207884e-06            
4.8007917e-06  4.4090173e-06            
4.8407982e-06  4.4345746e-06            
4.8808048e-06  4.4365932e-06            
4.9208114e-06  4.4328249e-06            
4.960818e-06  4.4295856e-06            
5.0008246e-06  4.439847e-06            
5.0408312e-06  4.4408201e-06            
5.0808378e-06  4.4229321e-06            
5.1208444e-06  4.4239216e-06            
5.160851e-06  4.4203123e-06            
5.2008576e-06  4.4127389e-06            
5.2408642e-06  4.4122525e-06            
5.2808708e-06  4.4148463e-06            
5.3208774e-06  4.4220579e-06            
5.360884e-06  4.4437662e-06            
5.4008906e-06  4.4330783e-06            
5.4408972e-06  4.4352927e-06            
5.4809038e-06  4.4308567e-06            
5.5209104e-06  4.4255e-06            
5.560917e-06  4.4415763e-06            
5.6009236e-06  4.4393618e-06            
5.6409302e-06  4.4298581e-06            
5.6809368e-06  4.4328736e-06            
5.7209434e-06  4.4523488e-06            
5.76095e-06  4.4459951e-06            
5.8009566e-06  4.4499062e-06            
5.8409632e-06  4.4384964e-06            
5.8809698e-06  4.4243795e-06            
5.9209764e-06  4.423396e-06            
5.960983e-06  4.4335791e-06            
6.0009896e-06  4.4273086e-06            
6.0409962e-06  4.4309247e-06            
6.0810028e-06  4.4514932e-06            
6.1210094e-06  4.4554716e-06            
6.161016e-06  4.4386829e-06            
6.2010226e-06  4.4267461e-06            
6.2410291e-06  4.4219596e-06            
6.2810357e-06  4.4205314e-06            
6.3210423e-06  4.4275266e-06            
6.3610489e-06  4.4193087e-06            
6.4010555e-06  4.4040584e-06            
6.4410621e-06  4.3904489e-06            
6.4810687e-06  4.3856088e-06            
6.5210753e-06  4.3875307e-06            
6.5610819e-06  4.3938625e-06            
6.6010885e-06  4.3874375e-06            
6.6410951e-06  4.3898992e-06            
6.6811017e-06  4.3886456e-06            
6.7211083e-06  4.4000244e-06            
6.7611149e-06  4.404472e-06            
6.8011215e-06  4.3949437e-06            
6.8411281e-06  4.3920192e-06            
6.8811347e-06  4.3927038e-06            
6.9211413e-06  4.4006008e-06            
6.9611479e-06  4.3986897e-06            
7.0011545e-06  4.4081167e-06            
7.0411611e-06  4.4041395e-06            
7.0811677e-06  4.4055837e-06            
7.1211743e-06  4.4005934e-06            
7.1611809e-06  4.4095598e-06            
7.2011875e-06  4.3866305e-06            
7.2411941e-06  4.3964693e-06            
7.2812007e-06  4.409721e-06            
7.3212073e-06  4.4190624e-06            
7.3612139e-06  4.4102079e-06            
7.4012205e-06  4.4121726e-06            
7.4412271e-06  4.4173083e-06            
7.4812337e-06  4.4152403e-06            
7.5212403e-06  4.4205038e-06            
7.5612469e-06  4.4229247e-06            
7.6012534e-06  4.4262191e-06            
7.64126e-06  4.4248696e-06            
7.6812666e-06  4.4353434e-06            
7.7212732e-06  4.4327246e-06            
7.7612798e-06  4.437461e-06            
7.8012864e-06  4.4219427e-06            
7.841293e-06  4.4375792e-06            
7.8812996e-06  4.4483581e-06            
7.9213062e-06  4.4486829e-06            
7.9613128e-06  4.4518616e-06            
8.0013194e-06  4.4477195e-06            
