#Profile 1             Profile 2
#x       y           x       y
#[]     []         []     []
0  3.9942553e-06            0  4.2638441e-06
8.7787119e-08  3.9952772e-06            8.5928174e-08  4.2691523e-06
1.7557424e-07  3.9956138e-06            1.7185635e-07  4.2652721e-06
2.6336136e-07  3.995707e-06            2.5778452e-07  4.254828e-06
3.5114847e-07  3.9962423e-06            3.437127e-07  4.2375324e-06
4.3893559e-07  3.9956849e-06            4.2964087e-07  4.2037585e-06
5.2672271e-07  3.9961959e-06            5.1556904e-07  4.1371526e-06
6.1450983e-07  3.9978608e-06            6.0149722e-07  4.1458753e-06
7.0229695e-07  3.9989891e-06            6.8742539e-07  4.1488866e-06
7.9008407e-07  3.999609e-06            7.7335357e-07  4.1519965e-06
8.7787119e-07  4.0001446e-06            8.5928174e-07  4.1563973e-06
9.6565831e-07  4.001608e-06            9.4520991e-07  4.1560213e-06
1.0534454e-06  4.0023095e-06            1.0311381e-06  4.1503004e-06
1.1412325e-06  4.0040906e-06            1.1170663e-06  4.1461191e-06
1.2290197e-06  4.0042037e-06            1.2029944e-06  4.1454155e-06
1.3168068e-06  4.0048037e-06            1.2889226e-06  4.1466257e-06
1.4045939e-06  4.0027701e-06            1.3748508e-06  4.1464236e-06
1.492381e-06  4.0056687e-06            1.460779e-06  4.1465263e-06
1.5801681e-06  4.0343455e-06            1.5467071e-06  4.1631696e-06
1.6679553e-06  4.0531288e-06            1.6326353e-06  4.1564448e-06
1.7557424e-06  4.077133e-06            1.7185635e-06  4.1466668e-06
1.8435295e-06  4.1015992e-06            1.8044917e-06  4.1319275e-06
1.9313166e-06  4.1120214e-06            1.8904198e-06  4.1291035e-06
2.0191037e-06  4.1115429e-06            1.976348e-06  4.1224292e-06
2.1068908e-06  4.1141144e-06            2.0622762e-06  4.1257524e-06
2.194678e-06  4.1165167e-06            2.1482043e-06  4.1324383e-06
2.2824651e-06  4.1154285e-06            2.2341325e-06  4.1263169e-06
2.3702522e-06  4.1146494e-06            2.3200607e-06  4.1168305e-06
2.4580393e-06  4.1154361e-06            2.4059889e-06  4.1150606e-06
2.5458264e-06  4.1167963e-06            2.491917e-06  4.174133e-06
2.6336136e-06  4.1182571e-06            2.5778452e-06  4.2707745e-06
2.7214007e-06  4.1180804e-06            2.6637734e-06  4.2291706e-06
2.8091878e-06  4.1181328e-06            2.7497016e-06  4.2229267e-06
2.8969749e-06  4.1180648e-06            2.8356297e-06  4.2097555e-06
2.984762e-06  4.1176953e-06            2.9215579e-06  4.2096974e-06
3.0725492e-06  4.1172831e-06            3.0074861e-06  4.2138929e-06
3.1603363e-06  4.1200814e-06            3.0934143e-06  4.2131172e-06
3.2481234e-06  4.1210833e-06            3.1793424e-06  4.2141591e-06
3.3359105e-06  4.1217569e-06            3.2652706e-06  4.1952096e-06
3.4236976e-06  4.1222568e-06            3.3511988e-06  4.1946583e-06
3.5114847e-06  4.1224578e-06            3.437127e-06  4.1981553e-06
3.5992719e-06  4.1237465e-06            3.5230551e-06  4.193785e-06
3.687059e-06  4.125249e-06            3.6089833e-06  4.1994154e-06
3.7748461e-06  4.1253417e-06            3.6949115e-06  4.2094411e-06
3.8626332e-06  4.1259955e-06            3.7808397e-06  4.2031697e-06
3.9504203e-06  4.1273142e-06            3.8667678e-06  4.1801604e-06
4.0382075e-06  4.1270404e-06            3.952696e-06  4.1750293e-06
4.1259946e-06  4.1288114e-06            4.0386242e-06  4.1683985e-06
4.2137817e-06  4.1302277e-06            4.1245523e-06  4.1714818e-06
4.3015688e-06  4.1133937e-06            4.2104805e-06  4.1688906e-06
4.3893559e-06  4.0634309e-06            4.2964087e-06  4.1762991e-06
4.4771431e-06  4.0338308e-06            4.3823369e-06  4.1688026e-06
4.5649302e-06  4.0344656e-06            4.468265e-06  4.1752784e-06
4.6527173e-06  4.0352231e-06            4.5541932e-06  4.165968e-06
4.7405044e-06  4.037322e-06            4.6401214e-06  4.1598365e-06
4.8282915e-06  4.0383223e-06            4.7260496e-06  4.1679331e-06
4.9160786e-06  4.0403335e-06            4.8119777e-06  4.1723487e-06
5.0038658e-06  4.0420489e-06            4.8979059e-06  4.1788966e-06
5.0916529e-06  4.0435974e-06            4.9838341e-06  4.1783369e-06
5.17944e-06  4.0448523e-06            5.0697623e-06  4.1824903e-06
5.2672271e-06  4.0456955e-06            5.1556904e-06  4.1932546e-06
5.3550142e-06  4.0464859e-06            5.2416186e-06  4.1714245e-06
5.4428014e-06  4.0481575e-06            5.3275468e-06  4.1621408e-06
5.5305885e-06  4.0499239e-06            5.413475e-06  4.1574983e-06
5.6183756e-06  4.0494976e-06            5.4994031e-06  4.1222343e-06
5.7061627e-06  4.0510289e-06            5.5853313e-06  4.066008e-06
5.7939498e-06  4.0517463e-06            5.6712595e-06  4.0515757e-06
5.881737e-06  4.051533e-06            5.7571877e-06  4.0664493e-06
5.9695241e-06  4.0526002e-06            5.8431158e-06  4.0658322e-06
6.0573112e-06  4.0530634e-06            5.929044e-06  4.0656209e-06
6.1450983e-06  4.0515371e-06            6.0149722e-06  4.0692823e-06
6.2328854e-06  4.0529249e-06            6.1009003e-06  4.0835875e-06
6.3206725e-06  4.0732405e-06            6.1868285e-06  4.100577e-06
6.4084597e-06  4.0906228e-06            6.2727567e-06  4.0838219e-06
6.4962468e-06  4.118883e-06            6.3586849e-06  4.073458e-06
6.5840339e-06  4.1487005e-06            6.444613e-06  4.0712911e-06
6.671821e-06  4.1617101e-06            6.5305412e-06  4.071698e-06
6.7596081e-06  4.1619809e-06            6.6164694e-06  4.078514e-06
6.8473953e-06  4.1612613e-06            6.7023976e-06  4.0764402e-06
6.9351824e-06  4.1617229e-06            6.7883257e-06  4.0728089e-06
7.0229695e-06  4.1625267e-06            6.8742539e-06  4.0936244e-06
7.1107566e-06  4.1637916e-06            6.9601821e-06  4.0897423e-06
