#Profile 1
#x       y
#[]     []
0  4.8282715e-06            
8.7009217e-08  4.8230616e-06
1.7401843e-07  4.8189919e-06
2.6102765e-07  4.8165214e-06
3.4803687e-07  4.812614e-06
4.3504609e-07  4.8036171e-06
5.220553e-07  4.7970007e-06
6.0906452e-07  4.7961913e-06
6.9607374e-07  4.791082e-06
7.8308295e-07  4.7833662e-06
8.7009217e-07  4.7753823e-06
9.5710139e-07  4.7715325e-06
1.0441106e-06  4.7682663e-06
1.1311198e-06  4.7632101e-06
1.218129e-06  4.7581713e-06
1.3051383e-06  4.75589e-06
1.3921475e-06  4.7499814e-06
1.4791567e-06  4.7409738e-06
1.5661659e-06  4.7094707e-06
1.6531751e-06  4.6994202e-06
1.7401843e-06  4.6635697e-06
1.8271936e-06  4.6537968e-06
1.9142028e-06  4.6329632e-06
2.001212e-06  4.6403053e-06
2.0882212e-06  4.6403346e-06
2.1752304e-06  4.63835e-06
2.2622396e-06  4.6348163e-06
2.3492489e-06  4.6330058e-06
2.4362581e-06  4.6319139e-06
2.5232673e-06  4.6298006e-06
2.6102765e-06  4.6283714e-06
2.6972857e-06  4.6278123e-06
2.784295e-06  4.6271167e-06
2.8713042e-06  4.626525e-06
2.9583134e-06  4.6253046e-06
3.0453226e-06  4.6247355e-06
3.1323318e-06  4.6236195e-06
3.219341e-06  4.6281336e-06
3.3063503e-06  4.6485962e-06
3.3933595e-06  4.6803545e-06
3.4803687e-06  4.7030556e-06
3.5673779e-06  4.7226307e-06
3.6543871e-06  4.7294051e-06
3.7413963e-06  4.7189454e-06
3.8284056e-06  4.7153472e-06
3.9154148e-06  4.7140339e-06
4.002424e-06  4.712263e-06
4.0894332e-06  4.7097369e-06
4.1764424e-06  4.7085127e-06
4.2634516e-06  4.7081512e-06
4.3504609e-06  4.7071232e-06
4.4374701e-06  4.7049035e-06
4.5244793e-06  4.7023852e-06
4.6114885e-06  4.7004126e-06
4.6984977e-06  4.6996283e-06
4.7855069e-06  4.6984681e-06
4.8725162e-06  4.6970353e-06
4.9595254e-06  4.6937822e-06
5.0465346e-06  4.69083e-06
5.1335438e-06  4.688509e-06
5.220553e-06  4.6867313e-06
5.3075622e-06  4.6850803e-06
5.3945715e-06  4.6823525e-06
5.4815807e-06  4.6799595e-06
5.5685899e-06  4.6778805e-06
5.6555991e-06  4.6755022e-06
5.7426083e-06  4.6726856e-06
