#Profile 1
#x       y
#[m]     [m]
0  6.9803922e-07
3.9926205e-08  6.9451935e-07
7.9852409e-08  6.8627451e-07
1.1977861e-07  6.8519081e-07
1.5970482e-07  6.8235294e-07
1.9963102e-07  6.793706e-07
2.3955723e-07  6.7058824e-07
2.7948343e-07  6.7058824e-07
3.1940964e-07  6.7057537e-07
3.5933584e-07  6.6933457e-07
3.9926205e-07  6.6666667e-07
4.3918825e-07  6.6769457e-07
4.7911446e-07  6.7276489e-07
5.1904066e-07  6.6905064e-07
5.5896686e-07  6.4705882e-07            
5.9889307e-07  6.4651264e-07
6.3881927e-07  6.4313725e-07
6.7874548e-07  6.4222406e-07
7.1867168e-07  6.3529412e-07
7.5859789e-07  6.3529412e-07
7.9852409e-07  6.3529412e-07
8.384503e-07  6.3473927e-07
8.783765e-07  6.2745098e-07
9.1830271e-07  6.2696995e-07
9.5822891e-07  6.1176471e-07
9.9815512e-07  6.1199542e-07
1.0380813e-06  6.2151459e-07
1.0780075e-06  6.2203606e-07
1.1179337e-06  6.1278884e-07
1.1578599e-06  6.1215669e-07
1.1977861e-06  6.04173e-07
1.2377123e-06  6.0392157e-07
1.2776385e-06  6.113341e-07
1.3175648e-06  6.1176471e-07
1.357491e-06  5.9729799e-07
1.3974172e-06  5.9607843e-07
1.4373434e-06  5.9607843e-07
1.4772696e-06  5.9607843e-07
1.5171958e-06  5.9312738e-07
1.557122e-06  5.9325277e-07
1.5970482e-06  5.8904838e-07
1.6369744e-06  5.8823529e-07
1.6769006e-06  5.8823529e-07
1.7168268e-06  5.8823529e-07
1.756753e-06  5.8516427e-07
1.7966792e-06  5.8431373e-07
1.8366054e-06  5.9047204e-07
1.8765316e-06  5.9215686e-07
1.9164578e-06  5.9215686e-07
1.956384e-06  5.9215686e-07
1.9963102e-06  5.8925688e-07
2.0362364e-06  5.8823529e-07
2.0761626e-06  5.7968058e-07
2.1160888e-06  5.7564459e-07
2.156015e-06  5.7522802e-07
2.1959413e-06  5.763648e-07
2.2358675e-06  5.7580362e-07
2.2757937e-06  5.755388e-07
2.3157199e-06  5.6641981e-07
2.3556461e-06  5.6078431e-07
2.3955723e-06  4.5779809e-07
2.4354985e-06  3.9607843e-07
2.4754247e-06  4.2442803e-07
2.5153509e-06  4.4313725e-07
2.5552771e-06  4.4086438e-07
2.5952033e-06  4.3921569e-07
2.6351295e-06  4.3922412e-07
2.6750557e-06  4.3977179e-07
2.7149819e-06  4.3972702e-07
2.7549081e-06  4.3921569e-07
2.7948343e-06  4.3921569e-07
2.8347605e-06  4.3921569e-07
2.8746867e-06  4.357092e-07
2.9146129e-06  4.3149235e-07
2.9545391e-06  4.3137255e-07
