#Profile 1             Profile 2
#x       y           x       y
#[]     []         []     []
0  4.1032796e-06            0  4.1309777e-06
7.9737258e-08  4.1036135e-06            7.9932793e-08  4.1321747e-06
1.5947452e-07  4.1049836e-06            1.5986559e-07  4.1314964e-06
2.3921177e-07  4.1049433e-06            2.3979838e-07  4.1346212e-06
3.1894903e-07  4.1053344e-06            3.1973117e-07  4.1429031e-06
3.9868629e-07  4.1057065e-06            3.9966397e-07  4.1489102e-06
4.7842355e-07  4.1053455e-06            4.7959676e-07  4.1503269e-06
5.581608e-07  4.1052516e-06            5.5952955e-07  4.148608e-06
6.3789806e-07  4.1069258e-06            6.3946235e-07  4.1440885e-06
7.1763532e-07  4.1080228e-06            7.1939514e-07  4.1357677e-06
7.9737258e-07  4.1082872e-06            7.9932793e-07  4.1342298e-06
8.7710983e-07  4.1087496e-06            8.7926072e-07  4.1345802e-06
9.5684709e-07  4.1095527e-06            9.5919352e-07  4.1395535e-06
1.0365843e-06  4.1104485e-06            1.0391263e-06  4.1482903e-06
1.1163216e-06  4.1113533e-06            1.1190591e-06  4.1547152e-06
1.1960589e-06  4.1114013e-06            1.1989919e-06  4.1545423e-06
1.2757961e-06  4.1114903e-06            1.2789247e-06  4.1534328e-06
1.3555334e-06  4.1125544e-06            1.3588575e-06  4.1498607e-06
1.4352706e-06  4.1133117e-06            1.4387903e-06  4.1481046e-06
1.5150079e-06  4.1138475e-06            1.5187231e-06  4.1487783e-06
1.5947452e-06  4.1146847e-06            1.5986559e-06  4.1470146e-06
1.6744824e-06  4.1164791e-06            1.6785887e-06  4.1389201e-06
1.7542197e-06  4.1165485e-06            1.7585214e-06  4.1314764e-06
1.8339569e-06  4.1168127e-06            1.8384542e-06  4.0958993e-06
1.9136942e-06  4.1181783e-06            1.918387e-06  4.0146669e-06
1.9934314e-06  4.1175336e-06            1.9983198e-06  4.0445135e-06
2.0731687e-06  4.1171789e-06            2.0782526e-06  4.0603374e-06
2.152906e-06  4.1166022e-06            2.1581854e-06  4.0571809e-06
2.2326432e-06  4.0961296e-06            2.2381182e-06  4.0544152e-06
2.3123805e-06  4.0469853e-06            2.318051e-06  4.0528431e-06
2.3921177e-06  4.0240387e-06            2.3979838e-06  4.0522241e-06
2.471855e-06  4.0216327e-06            2.4779166e-06  4.0548094e-06
2.5515922e-06  4.0227974e-06            2.5578494e-06  4.0541281e-06
2.6313295e-06  4.0236949e-06            2.6377822e-06  4.0574833e-06
2.7110668e-06  4.0251747e-06            2.717715e-06  4.0600159e-06
2.790804e-06  4.0258701e-06            2.7976478e-06  4.059571e-06
2.8705413e-06  4.0270958e-06            2.8775806e-06  4.0576112e-06
2.9502785e-06  4.0278873e-06            2.9575133e-06  4.0544606e-06
3.0300158e-06  4.0292595e-06            3.0374461e-06  4.0528912e-06
3.109753e-06  4.029853e-06            3.1173789e-06  4.0545201e-06
3.1894903e-06  4.0305758e-06            3.1973117e-06  4.0584167e-06
3.2692276e-06  4.0312665e-06            3.2772445e-06  4.067935e-06
