#wavelength	intensity

260.82406	3.70822906148758e-06
261.03094	3.70840831556372e-06
261.23784	3.70876682371499e-06
261.44476	4.16788736182768e-06
261.65169	4.16808878688929e-06
261.85864	3.24433503725044e-06
262.06561	3.24464857530681e-06
262.2726	3.24496211336318e-06
262.47961	3.24527565141866e-06
262.68663	2.77993440829209e-06
262.89367	2.78020297504015e-06
263.10073	3.7051319203182e-06
263.30781	3.70548980034539e-06
263.5149	2.78087439190992e-06
263.72201	2.78114295865798e-06
263.92914	4.17211728810906e-06
264.13629	4.17252013823e-06
264.34345	2.78181437552851e-06
264.55063	2.78208294227581e-06
264.75783	2.78235150902387e-06
264.96505	2.78262007577193e-06
265.17228	2.78275435914558e-06
265.37953	2.78302292589364e-06
265.5868	2.7832914926417e-06
265.79409	2.78356005938976e-06
266.00139	2.78369434276417e-06
266.20871	3.25013549129105e-06
266.41605	3.25044902934742e-06
266.62341	2.78450004300759e-06
266.83078	2.784634326382e-06
267.03817	2.7849028931293e-06
267.24558	2.78517145987812e-06
267.45301	2.78544002662542e-06
267.66045	2.78557430999983e-06
267.86791	3.24580213992133e-06
268.07539	3.2461150486411e-06
268.28289	2.78638001024325e-06
268.4904	2.78651429361766e-06
268.69793	3.72005983047542e-06
268.90548	3.72041833862771e-06
269.11305	2.78731999386108e-06
269.32063	2.78745427723549e-06
269.52823	2.78772284398355e-06
269.73585	2.78799141073161e-06
269.94349	2.78825997747891e-06
270.15114	2.78839426085332e-06
270.35881	3.72256938753432e-06
270.5665	3.72292789568559e-06
270.77421	4.18379994164511e-06
270.98193	4.18400136670673e-06
271.18967	3.72382416606325e-06
271.39743	3.72418267421452e-06
271.60521	4.185209917073e-06
271.813	4.18541134213347e-06
272.02081	3.72507894459219e-06
272.22864	3.72543745274346e-06
272.43648	3.7256167068196e-06
272.64434	3.72597521496986e-06
272.85222	4.18722416768231e-06
273.06012	4.1876270178044e-06
273.26804	4.18802986792649e-06
273.47597	4.18823129298811e-06
273.68392	3.26001194006356e-06
273.89188	3.26016870909219e-06
274.09987	3.26062639734513e-06
274.30787	3.26078316576617e-06
274.51589	3.72884328018002e-06
274.72392	3.72902253425514e-06
274.93198	3.26173639937314e-06
275.14005	3.26189316840088e-06
275.34814	2.79430272930913e-06
275.55624	2.79443701268277e-06
275.76437	2.79483986280448e-06
275.97251	2.7949741461789e-06
276.18066	2.79510842955254e-06
276.38884	2.79551127967502e-06
276.59703	2.79564556304867e-06
276.80524	2.79591412979673e-06
277.01347	2.79618269654402e-06
277.22171	2.79631697991843e-06
277.42997	2.79658554666726e-06
277.63825	2.79685411341456e-06
277.84655	2.79712268016185e-06
278.05486	2.79725696353703e-06
278.26319	2.79752553028433e-06
278.47154	2.79779409703239e-06
